aachen	Аахен
borino	Борино
turiya	Турия
borintsi	Боринци
borislavci	Бориславци
svidnya	Свидня
borislavtsi	Бориславци
borisovo	Борисова
borjana	Боряна
borjomi	Боржоми
bor	Бор
bormio	Бормио
bornarevo	Борнарево
sydney	Сидни
borovci	Боровци
borovets	Боровец
borovica	Боровица
borovichene	Боровичене
borovina	Боровина
tataritsa	Татарица
vladimirovci	Владимировци
zaverdentsi	Заверденци
borovsko	Боровско
borovtsi	Боровци
borskoto	Борското
bortsi	Борци
borushtitsa	Борущица
boryana	Боряна
bosevtsi	Босевци
boshulja	Бошуля
turnyane	Търняне
bosilegrad	Босилеград
bosilek	Босилек
yasenkovo	Ясенково
bosilkovci	Босилковци
bosilkovo	Босилково
bosilkovtsi	Боликовци
troskovo	Тросково
bosnek	Боснек
tucson	Тюсон
bostan	Бостан
srednogorovo	Средногорово
tomchevtsi	Томчевци
boston	Бостън
botevgrad	Ботевград
urovene	Уровене
botosani	Ботошани
botrov	Ботров
botunets	Ботунец
voyvoda	Войвода
boturche	Ботурче
bov	Бов
boyadzhieva	Бояджиева
szczecin	Шчечин
boyana	boyana
boyan-botevo	Боян-Ботево
boyan	Боян
boyanovo	Бояново
boyanovtsi	Бояновци
boyantsi	Боянци
boycheta	Бойчета
vievo	Виево
boychovskoto	Бойчовското
boychovtsi	Бойчовци
boykata	Бойката
boykovets	Бойковец
boykovo	Бойково
boykovtsi	Бойковци
boymir	Боймир
boynik	Бойник
boynitsa	Бойница
boyno	Бойно
boynovtsi	Бойновци
bozadzhii	Бозаджии
bozduganovo	Боздуганово
bozhak	Божак
bozhan	Божан
bozhanovo	Божаново
vojvodinovo	Войводиново
bozhenitsa	Боженица
bozhentsi	Боженци
bozhevci	Божевци
bozhevtsi	Божевци
bozhichen	Божичен
bozhitsa	Божица
bozhkovtsi	Божковци
bozhurets	Божурец
bozhurica	Божурица
voynikovo	Войниково
bozhuritsa	Божурица
bozhurka	Божурка
bozhurluk	Божурлук
bozhurovo	Божурово
bozhurtsi	Божурци
bozirog	Бозирог
boztas	Керациново
sub'ovska	Събовска
bozveliysko	Бозвелийско
bradvari	Брадвари
braila	Браила
braknitsa	Бракница
brak'ovtsi	Бракьовци
bra	Бра
vazovo	Вазово
branichevo	Браничево
branipole	Браниполе
branishhe	Бранище
branishte	Бранище
tsarichina	Царичина
brankovtsi	Бранковци
brasov	Брашов
bratanica	Братаница
bratanitsa	Братаница
bratan	Братан
torun	Торун
bratislava	Братислава
bratovo	Братово
bratsigovo	Брацигово
bratushkovo	Братушкови
braykovitsa	Брайковица
breda	Бреда
bregare	Брегаре
bregovo	Брегово
yastreb	Ястреб
brenica	Бреница
brenitsa	Бреница
brestaka	Брестака
znamenosec	Знаменосец
breste	Бресте
brest	Брест
brestnica	Брестница
brestnik	Брестник
brestnitsa	Брестница
brestova	Брестова
brestovec	Брестовец
vresovo	Вресово
yankovtsi	Янковци
brestovica	Брестовица
zverino	Зверино
brestovo	Брестово
breza	Бреза
breze	Брезе
brezen	Брезен
stockton	Стоктън
brezhnitsite	Брежниците
breznica	Брезница
breznik	Брезник
breznitsa	Брезница
ustrem	Устрем
brezovo	Брезово
brig	Бриг
brisbane	Бризбейн
bristol	Бристъл
brjagovica	Бряговица
brjagovo	Брягово
sovoljano	Соволяно
strazhec	Стражец
brodilovo	Бродилово
brod	Брод
bronx	Бронкс
brooklyn	Бруклин
brosh	Брош
stanchevo	Станчево
bruchma	Бръчма
brugge	Брюж
brunate	Брунате
brunetsite	Брънеците
brunkovtsi	Брънковци
brusartsi	Брусарци
vurbeshnitsa	Върбешница
brusevtsi	Брусевци
brushhen	Бръщен
tolovitsa	Толовица
vurteshevo	Въртешево
swansea	Суонзи
brushlyan	Бръшлян
brushten	Бръщен
brusino	Брусино
brusnik	Брусник
brussels	Брюксел
bryag	Бряг
bryagovets	Бряговец
bryagovitsa	Бряговица
bryagovo	Брягово
bryast	Бряст
bryastovets	Брястовец
bryastovo	Брястово
turun	Търън
bucaramanga	Букараманга
tikhomir	Тихомир
bucharest	Букурещ
buchevarite	Бъчеварите
buchino	Бучино
buchukovtsi	Бучуковци
budapest	Будапеща
veselinovo	Веселиново
budeshte	Бъдеще
stankovo	Станково
budva	Будва
versko	Верско
bujnovica	Буйновица
bujnovo	Буйново
zavoja	Завоя
wiesbaden	Висбаден
bukhovci	Буховци
bukhovo	Бухово
srebrinovo	Сребриново
buk	Бук
bukorovtsi	Букоровци
bukovec	Буковец
bukovets	Буковец
bukovluk	Буковлък
bukovo	Буково
bukvar	Буквар
bulair	Булаир
toano	Тоано
bulgarchevo	Българчево
zamfirovo	Замфирово
zgorigrad	Згориград
bulgari	Българи
bulgarin	Българин
zhivko	Живко
bulgarovo	Българово
strelec	Стрелец
bunovo	Буново
buntsevo	Бунцево
bunzareto	Бънзарето
buranovo	Бураново
burbank	Бърбанк
burchevo	Бърчево
vubbel	Въбел
burdarite	Бърдарите
burdeni	Бърдени
burdokva	Бърдоква
burdo	Бърдо
burduche	Бърдуче
burevo	Бурево
burgas	Бургас
burgenland	Бургенланд
burgos	Бургос
burja	Буря
burkachevo	Бъркачево
burkach	Бъркач
burlozhnitsa	Бърложница
burlya	Бърля
tirana	Тирана
topolovets	Тополовец
burzija	Бързия
burzina	Бързина
burzitsa	Бързица
burziya	Бързия
busintsi	Бусинци
zagortsi	Загорци
busmantsi	Бусманци
buta	Бъта
butan	Бутан
butovo	Бутово
butreva	Бутрева
butrointsi	Бутроинци
vrachantsi	Врачанци
varnik	Варник
buynovo	Буйново
buynovtsi	Буйновци
buzau	Бузъу
buzovec	Бъзовец
buzovets	Бъзовец
buzovgrad	Бузовград
buzovitsa	Бъзовица
buzun	Бъзън
buzyakovtsi	Бузяковци
byaga	Бяга
byala	Бяла
velichka	Величка
byalkovo	Бялково
byalkovtsi	Бялковци
bydgoszcz	Бидгошч
varna	Варна
caen	Кан
cagnes-sur-mer	Кан сюр Мер
cahul	Кахул
cairo	Кайро
zlatograd	Златоград
calcutta	Калкута
caldogno	Калдоньо
calgary	Калгари
cali	Кали
callao	Каляо
calw	Калв
camaguey	Камагуей
cambridge	Кеймбридж
camogli	Камоли
canada	Канада
canberra	Канбера
candela	Кандела
voyvodovo	Войводово
zhablyano	Жабляно
capri	Капри
caracas	Каракас
caracovo	Царацово
carevci	Царевци
vranentsi	Враненци
carimir	Царимир
vishna	Вишна
wellington	Уелингтън
usojka	Усойка
casablanca	Казабланка
sredets	Средец
catak	Читак
strakhilovo	Страхилово
celina	Целина
tukach	Тъкач
cernavoda	Черна вода
cerovishhe	Церовище
cerovo	Церово
cesaro	Чезаро
cesena	Чезена
cetara	Четара
cetinje	Цетине
ceuta	Сеута
ceva	Чева
chajka	Чайка
chakalarovo	Чакаларово
chakalci	Чакалци
zhitosvyat	Житосвят
zajchar	Зайчар
surnets	Сърнец
chala	Чала
tiksi	Тикси
chalukovi	Чалъкови
voursiani	Връщен
champaign	Шампейн
chapaevo	Чапаево
charda	Чарга
terziysko	Терзийско
charkovete	Чарковете
charkovo	Чарково
vranje	Враня
charlotte	Шарлът
chavdarci	Чавдарци
yerusalimovo	Ерусалимово
chavdartsi	Чавдарци
chavei	Чавеи
tsvyatovo	Цвятово
chayka	Чайка
vrabets	Врабец
tsarevo	Царево
chekanets	Чеканец
chekantsi	Чеканци
trunak	трънак
chekhlari	Чехлари
chekhlyuvtsi	Чеклювци
chelnik	Челник
chelopechene	Челопечене
chelopech	Челопеч
chelopek	Челопек
chelyabinsk	Челябинск
chelyustnitsa	Челъстница
chemersko	Чемерско
chemish	Чемиш
chemnitz	Кемниц
vubel	Въбел
chepelare	Чепеларе
svoboda	Свобода
chepino	Чепино
chepintsi	Чепинци
chepleten	Чеплетен
chepurlintsi	Чепърлинци
cherencha	Черенка
cherepovo	Черепово
vidintsi	Видинци
chereshica	Черешица
chereshitsa	Черешица
tsirka	Цирка
chereshnitsa	Черешница
chereshovitsa	Черешовица
chereshovo	Черешово
cherganovo	Черганово
tushovtsa	Тушовца
cherkovica	Черковица
cherkovishte	Черковище
vurbina	Върбина
staynovtsi	Стайновци
tamarino	Тамарино
zavetno	Заветно
chernalevo	Черналево
struga	Струга
chernevoto	Черневото
chernevtsi	Черневци
chernica	Черница
cherniche	Черниче
chernichevo	Черничево
chernichino	Черничино
chernigovo	Чернигово
chernik	Черник
chernitsa	Черница
chernodub	Чернодъб
chernoglavci	Черноглавци
chernoglavtsi	Черноглавци
chernogor	Черногор
chernogorovo	Черногорово
yavrovo	Яврово
chernokapci	Чернокапци
chernokaptsi	Чернокарци
zavoj	Завой
chernokos	Чернокос
chernolik	Чернолик
chernomorec	Черноморец
chernomorets	Черноморец
chernomortsi	Черноморци
vodnyantsi	Воднянци
chernooki	Чернооки
chernook	Черноок
chernookovo	Чернооково
chern'ovo	Черньово
yavornitsa	Яворница
chern'ovtsi	Черньовци
chernozemen	Черноземен
chernozem	Чернозем
chernushka	Чернушка
vurshets	Вършец
chervena	Червена
sotuchino	Сотучино
vlasatitsa	Власатица
tuvalu	Тувалу
cherventsi	Червенци
cheshlyantsi	Чешлянци
cheshma	Чешма
cheshnegirovo	Чешнегирово
chester	Честър
chestimensko	Честименско
yunatsite	Юнаците
chetirtsi	Четирци
chetroka	Четрока
chibaovci	Чибаовци
chibaovtsi	Чибаовци
chicago	Чикаго
chichevo	Чичево
topuzi	Топузи
chiflika	Чифлика
chiflik	Чифлик
chilik	Чилик
chilnov	Чилинов
chintulovo	Чинтулово
chiprovtsi	Чипровци
chiren	Чирен
chirpan	Чирпан
trustikovo	Тръстиково
chistovo	Чистово
chitakovtsi	Читаковци
chitashko	Читашко
choba	Чоба
chobanka	Чобанка
chokmanovo	Чокманово
chokoba	Чокоба
cholakova	Чолакова
cholakovtsi	Чолаковци
stezherovo	Стежерово
chomakovo	Чомаково
chomakovtsi	Чомаковци
chongqing	Чунцин
chorbadzhijsko	Чорбаджийско
chorbadzhiysko	Чорбаджийско
chorlevo	Чорлево
chornobyl'	Чернобил
chorul	Чорул
zhitusha	Житуша
chubra	Чубра
chubrika	Чубрика
chuchan	Чучан
chuchuliga	Чучулига
chuchuligovo	Чучулигово
chuchur	Чучур
chudintsi	Чудинци
solishta	Солища
chukarka	Чукарка
chukarovo	Чукарово
varovnik	Варовник
chukilite	Чукилите
chuklenik	Чукленик
chukovec	Чуковец
uscio	Ушо
chukovezer	Чуковезер
chukovo	Чуково
vlakhovo	Влахово
chuprene	Чупрене
churek	Чурек
churen	Чурен
churicheni	Чуричени
churilovo	Чурилово
churka	Чурка
chur	Кур
trudovets	Трудовец
chuypetlovo	Чуйпетльово
cincinnati	Синсинати
clermont-ferrand	Клермон Феран
cleveland	Кливланд
tvurdinci	Твърдинци
cluses	Клюз
tetovo	Тетово
colchester	Колчестър
verizhari	Верижари
tallinn	Талин
colorado	Колорадо
columbia	Колумбия
verdikal	Вердикал
como	Комо
comrat	Комрат
conakry	Конакри
concord	Конкорд
waterloo	Ватерло
strelci	Стрелци
constanta	Констанца
copenhagen	Копенхаген
cordoba	Кордоба
cork	Корк
corleone	Корлеоне
corpus	Корпус
correggio	Кореджо
corrientes	Кориентес
corvallis	Корвалис
cottbus	Котбус
craiova	Крайова
cremona	Кремона
crewe	Крю
cruncha	Црънча
cucuta	Кукута
cupertino	Купертино
curkva	Църква
curkvica	Църквица
curkvishhe	Църквище
cusco	Куско
tatkovo	Татково
dabok	Дабок
dachau	Дахау
daevtsi	Даевци
dafinintsi	Дафинци
dagonovo	Дагоново
dahuk	Дахук
dallas	Далас
sulitsa	Сулица
trapeskovtsi	Трапесковци
damjanica	Дамяница
damjanovo	Дамяново
damme	Даме
damyanitsa	Дамяница
titevtsi	Титевци
danailovo	Данаилово
tryavna	Трявна
svoge	Своге
vodenicharovo	Воденичарско
darmstadt	Дармщат
darovitsa	Даровица
daskal-atanasovo	Даскал-Атанасово
daskalovo	Даскалово
daugavpils	Даугавпилс
daveri	Давери
davidkovo	Давидково
davidovo	Давидово
davis	Дейвис
daynovtsi	Дейновци
debar	Дебър
debelec	Дебелец
debelets	Дебелец
zittau	zittau
debeltsovo	Дебелцово
debelyanovo	Дебеляново
vrakupovitsa	Вракоповица
debochitsa	Дебочица
debovo	Дебово
debrashtitsa	Дебращница
debrecen	Дебрецен
debrene	Дебрене
debren	Дебрен
yarlovtsi	Ярловци
dechkovtsi	Дечковци
dedets	Дедец
dedina	Дедина
staychovtsi	Стайчовци
dedovo	Дедово
deggendorf	Дегендорф
dekov	Деков
suedinenie	Съединение
delchevo	Делчево
delejna	Делейна
svirachi	Свирачи
delft	Делфт
vrabcha	Врабча
delidzhetsite	Делиджеците
delvino	Делвино
delyan	Делян
delyanovtsi	Деляновци
tiraspol	Тираспол
dennitsa	Денница
denver	Денвър
derikotkovtsi	Дерикотковци
dermanci	Дерманци
dermantsi	Дерманци
deskot	Дъскот
dessau	Десау
detelina	Детелина
detroit	Детройт
tikhomirovo	Тихомирово
devenci	Девенци
devene	Девене
deventsi	Девенци
devesilitsa	Девесилица
devesilovo	Девесилово
yardzhilovtsi	Ярджиловци
vinishte	Винище
devetatsite	Деветаците
devetintsi	Деветинци
devin	Девин
devino	Девино
devnya	Девня
dhelfoi	Делфи
dhelta	Витово
dhiplokhori	Дъблен
diamandovo	Диамандово
dibich	Дибич
dichevo	Дичево
dichin	Дичин
dijon	Дижон
tsarevets	Царевец
dimanovtsi	Димановци
vezenkovo	Веженково
dimchevo	Димчево
dimievtsi	Димиевци
dimitrievo	Димитриево
dimitrovche	Димитрикьой
vrazhdebna	Враждебна
dimitrovtsi	Димитровци
vurbovka	Върбовка
dimovo	Димово
dimovtsi	Димовци
dinevo	Динево
dinkata	Динката
dink	Динк
dinkovitsa	Динковица
dinkovo	Динково
dinya	Диня
diralo	Дирало
disevica	Дисевица
yoren	Йорен
dismanitsa	Дисманица
divchovoto	Дивчовото
divdyadovo	Дивдядово
vishan	Вишан
divlya	Дивля
divotino	Дивотино
vranintsi	Вранинци
turgovishte	Търговище
djadovsko	Дядовско
djakovo	Дяково
topolovgrad	Тополовград
djenne	Джене
djulevo	Дюлево
zherka	Жерка
djulino	Дюлино
dlugnevo	Длъгнево
vurbitsa	Върбица
dluzhko	Длъжко
dmitrov	Дмитров
doborsko	Доборско
dobraluk	Добралък
virovsko	Вировско
voyno	Войно
dobrevci	Добревци
dobrevo	Добрево
dobrevtsi	Добревци
dobrich	Добрич
dobrina	Добрина
dobrinci	Добринци
dobrinishhe	Добринище
dobrinishte	Добринище
dobrin	Добрин
dobrinovo	Добриново
dobrintsi	Добринци
dobrodan	Добродан
tipchenica	Типченица
dobrolevo	Добролево
dobromirci	Добромирци
dobromirka	Добромирка
dobromir	Добромир
vranyantsi	Вранянци
yablanitsa	Ябланица
dobroselets	Доброселец
vis	Вис
dobroslavtsi	Доброславци
dobrostan	Добростан
dobrotica	Добротица
dobrotich	Добротич
dobrotino	Добротино
dobrotitsa	Добротица
dobrovnica	Добровница
dobrovnitsa	Добровница
dobrovo	Доброво
dobrovolets	Добровец
dobrudzhanka	Добруджанка
dobrusha	Добруша
tutrakan	Тутракан
dobursko	Добърско
staroselets	Староселец
yaka-badzha-k'oy	Яка-Баджа-Кьой
subotica	Суботица
dojranci	Дойранци
vojnika	Войника
dokatichevo	Докатичево
turkincha	Туркинча
dolapite	Долапите
dolare	Доларе
dolboka	Дълбоки
dolec	Долец
dolene	Долене
doleni	Долени
dolen	Долен
dolets	Долец
dolie	Долие
dolina	Долина
turija	Турия
vekhtino	Вехтино
dolnoseltsi	Долноселци
taba	Таба
vardo	Вардьо
domishhe	Домище
domishte	Домище
domljan	Домлян
domlyan	Домлян
zlokuchene	Злокучене
zheljava	Желява
vorarlberg	Форарлберг
donino	Донино
donkino	Донкино
donkovtsi	Донковци
dorkovo	Дорково
dorl'ovtsi	Дорльовци
tombeto	Томбето
dospat	Доспат
dospej	Доспей
dospey	Доспей
douai	Дуе
douala	Дуала
doykintsi	Дойкинци
doynovtsi	Дойновци
doyrantsi	Дойранци
doyrentsi	Дойренци
dozhdevitsa	Дождевица
drabishna	Драбишна
drachevo	Драчево
